addr,name
00404fdc,FUN_00404fdc
00405188,FUN_00405188
00405194,FUN_00405194
004051d0,FUN_004051d0
004051f8,FUN_004051f8
00405220,FUN_00405220
00405228,FUN_00405228
00405270,FUN_00405270
004052b8,FUN_004052b8
004052e4,FUN_004052e4
004054bc,FUN_004054bc
00405740,FUN_00405740
00405748,FUN_00405748
00405750,FUN_00405750
00405770,FUN_00405770
004057f8,FUN_004057f8
00405854,FUN_00405854
00405864,FUN_00405864
004058e8,FUN_004058e8
00405900,FUN_00405900
0040592c,FUN_0040592c
0040595c,FUN_0040595c
004059d0,FUN_004059d0
004059f8,FUN_004059f8
00405ad4,FUN_00405ad4
00405c0c,FUN_00405c0c
00405cb8,FUN_00405cb8
00405d5c,FUN_00405d5c
00405dac,FUN_00405dac
00405e04,FUN_00405e04
00405fa0,GetModuleHandleA
00405fa8,LocalAlloc
00405fb0,TlsGetValue
00405fb8,TlsSetValue
00405fc0,FUN_00405fc0
00405fcc,FUN_00405fcc
00405fd4,FUN_00405fd4
00406018,FUN_00406018
00406058,FUN_00406058
00406064,FUN_00406064
004060e0,FUN_004060e0
004060fc,FUN_004060fc
00406104,FUN_00406104
00406120,FUN_00406120
00406224,RegCloseKey
0040622c,RegOpenKeyExA
00406234,RegQueryValueExA
0040623c,CloseHandle
00406244,CompareStringA
0040624c,CreateEventA
00406254,CreateFileA
0040625c,CreateThread
00406264,DeleteCriticalSection
0040626c,EnterCriticalSection
00406274,EnumCalendarInfoA
0040627c,FindResourceA
00406284,FormatMessageA
0040628c,FreeLibrary
00406294,InterlockedExchange
0040629c,FreeResource
004062a4,GetACP
004062ac,GetCPInfo
004062b4,GetCurrentProcessId
004062bc,GetCurrentThreadId
004062c4,GetDateFormatA
004062cc,GetDiskFreeSpaceA
004062d4,GetFullPathNameA
004062dc,GetLastError
004062e4,GetLocalTime
004062ec,GetLocaleInfoA
004062f4,GetModuleFileNameA
004062fc,GetModuleHandleA
00406304,GetProcAddress
0040630c,GetStdHandle
00406314,GetStringTypeExA
0040631c,GetSystemInfo
00406324,GetThreadLocale
0040632c,GetTickCount
00406334,GetVersion
0040633c,GetVersionExA
00406344,GlobalAddAtomA
0040634c,GlobalAlloc
00406354,GlobalDeleteAtom
0040635c,GlobalFindAtomA
00406364,GlobalFree
0040636c,GlobalLock
00406374,GlobalHandle
0040637c,GlobalReAlloc
00406384,GlobalUnlock
0040638c,InitializeCriticalSection
00406394,LeaveCriticalSection
0040639c,LoadLibraryA
004063a4,LoadResource
004063ac,LockResource
004063b4,MulDiv
004063bc,ReadFile
004063c4,ResetEvent
004063cc,SetEndOfFile
004063d4,SetErrorMode
004063dc,SetEvent
004063e4,SetFilePointer
004063ec,SetThreadLocale
004063f4,SizeofResource
004063fc,Sleep
00406404,VirtualAlloc
0040640c,VirtualQuery
00406414,WaitForSingleObject
0040641c,WriteFile
00406424,lstrcpyA
0040642c,GetFileVersionInfoA
00406434,GetFileVersionInfoSizeA
0040643c,VerQueryValueA
00406444,BitBlt
0040644c,CreateBitmap
00406454,CreateBrushIndirect
0040645c,CreateCompatibleBitmap
00406464,CreateCompatibleDC
0040646c,CreateDIBSection
00406474,CreateDIBitmap
0040647c,CreateFontIndirectA
00406484,CreateHalftonePalette
0040648c,CreatePalette
00406494,CreatePenIndirect
0040649c,CreateSolidBrush
004064a4,DeleteDC
004064ac,DeleteObject
004064b4,ExcludeClipRect
004064bc,GetBitmapBits
004064c4,GetBrushOrgEx
004064cc,GetClipBox
004064d4,GetCurrentPositionEx
004064dc,GetDCOrgEx
004064e4,GetDIBColorTable
004064ec,GetDIBits
004064f4,GetDeviceCaps
004064fc,GetObjectA
00406504,GetPaletteEntries
0040650c,GetPixel
00406514,GetStockObject
0040651c,GetSystemPaletteEntries
00406524,GetTextExtentPoint32A
0040652c,GetTextMetricsA
00406534,GetWindowOrgEx
0040653c,IntersectClipRect
00406544,LineTo
0040654c,MaskBlt
00406554,MoveToEx
0040655c,PatBlt
00406564,RealizePalette
0040656c,RectVisible
00406574,RestoreDC
0040657c,SaveDC
00406584,SelectObject
0040658c,SelectPalette
00406594,SetBkColor
0040659c,SetBkMode
004065a4,SetBrushOrgEx
004065ac,SetDIBColorTable
004065b4,SetPixel
004065bc,SetROP2
004065c4,SetStretchBltMode
004065cc,SetTextColor
004065d4,SetViewportOrgEx
004065dc,SetWindowOrgEx
004065e4,StretchBlt
004065ec,UnrealizeObject
004065f4,ActivateKeyboardLayout
004065fc,AdjustWindowRectEx
00406604,CharLowerA
0040660c,BeginPaint
00406614,CallNextHookEx
0040661c,CallWindowProcA
00406624,CharNextA
0040662c,CharToOemA
00406634,CheckMenuItem
0040663c,ClientToScreen
00406644,CreateIcon
0040664c,CreateMenu
00406654,CreatePopupMenu
0040665c,DefFrameProcA
0040666c,DefWindowProcA
00406674,DeleteMenu
0040667c,DestroyCursor
00406684,DestroyIcon
0040668c,DestroyMenu
00406694,DestroyWindow
0040669c,DispatchMessageA
004066a4,DrawEdge
004066ac,DrawFrameControl
004066b4,DrawIcon
004066bc,DrawIconEx
004066c4,DrawMenuBar
004066cc,DrawTextA
004066d4,EnableMenuItem
004066e4,EnableWindow
004066ec,EndPaint
004066f4,EnumThreadWindows
004066fc,EnumWindows
00406704,EqualRect
0040670c,FillRect
00406714,FindWindowA
0040671c,FrameRect
00406724,GetActiveWindow
0040672c,GetAsyncKeyState
00406734,GetCapture
0040673c,GetClassInfoA
00406744,GetClassNameA
0040674c,GetClientRect
00406754,GetCursor
0040675c,GetCursorPos
00406764,GetDC
0040676c,GetDCEx
00406774,GetDesktopWindow
0040677c,GetDoubleClickTime
00406784,GetFocus
0040678c,GetForegroundWindow
00406794,GetIconInfo
0040679c,GetKeyNameTextA
004067a4,GetKeyState
004067ac,GetKeyboardLayout
004067b4,GetKeyboardLayoutList
004067bc,GetKeyboardState
004067c4,GetLastActivePopup
004067cc,GetMenu
004067d4,GetMenuItemCount
004067dc,GetMenuItemID
004067e4,GetMenuItemInfoA
004067ec,GetMenuState
004067f4,GetMenuStringA
004067fc,GetWindow
00406804,GetParent
0040680c,GetPropA
0040682c,GetSubMenu
00406834,GetSysColor
00406844,GetSystemMenu
0040684c,GetSystemMetrics
00406854,GetTopWindow
0040685c,GetWindow
00406864,GetWindowDC
0040686c,GetWindowLongA
00406874,GetWindowPlacement
0040687c,GetWindowRect
00406884,GetWindowTextA
0040688c,GetWindowThreadProcessId
00406894,GetWindowThreadProcessId
0040689c,InflateRect
004068a4,InsertMenuA
004068ac,InsertMenuItemA
004068b4,IntersectRect
004068bc,InvalidateRect
004068c4,IsChild
004068cc,IsDialogMessageA
004068d4,IsIconic
004068dc,IsRectEmpty
004068e4,IsWindow
004068ec,IsWindowEnabled
004068f4,IsWindowVisible
00406904,KillTimer
0040690c,LoadBitmapA
00406914,LoadCursorA
0040691c,LoadIconA
0040692c,LoadStringA
00406934,MapVirtualKeyA
0040693c,MapWindowPoints
00406944,MessageBoxA
0040694c,OemToCharA
00406954,OffsetRect
0040695c,PeekMessageA
00406964,PostMessageA
0040696c,PostQuitMessage
00406974,PtInRect
0040697c,RedrawWindow
00406984,RegisterClassA
0040698c,RegisterClipboardFormatA
00406994,RegisterWindowMessageA
0040699c,ReleaseCapture
004069a4,ReleaseDC
004069ac,RemoveMenu
004069bc,ScreenToClient
004069c4,ScrollWindow
004069cc,SendMessageA
004069d4,SetActiveWindow
004069dc,SetCapture
004069e4,SetClassLongA
004069ec,SetCursor
004069f4,SetFocus
004069fc,SetForegroundWindow
00406a04,SetMenu
00406a0c,SetMenuItemInfoA
00406a14,SetParent
00406a1c,SetPropA
00406a24,SetRect
00406a44,SetTimer
00406a4c,SetWindowLongA
00406a54,SetWindowPlacement
00406a5c,SetWindowPos
00406a64,SetWindowTextA
00406a6c,SetWindowsHookExA
00406a74,ShowCursor
00406a7c,ShowOwnedPopups
00406a8c,ShowWindow
00406a94,SystemParametersInfoA
00406a9c,TrackPopupMenu
00406aa4,TranslateMDISysAccel
00406aac,TranslateMessage
